cluster,node,baseline_pct,credit_max,bal_min_14d,bal_last,cpu_util_max,engine_cpu_max
luckyus-scm-sims-001,cache.t4g.micro,10,288,288.0,288.0,12.7,0.5
luckyus-bigdata-cyberdata-001,cache.t4g.small,20,576,576.0,576.0,12.5,2.7
luckyus-production-001,cache.t4g.micro,10,288,288.0,288.0,12.5,0.7
luckyus-lkmap-003,cache.t4g.small,20,576,576.0,576.0,12.0,0.4
luckyus-scm-asset-002,cache.t4g.micro,10,288,288.0,288.0,11.9,0.4
luckyus-waf-002,cache.t4g.micro,10,288,288.0,288.0,11.8,1.4
luckyus-ipushnet-001,cache.t4g.micro,10,288,287.9,288.0,11.7,9.3
luckyus-ilopamanager-001,cache.t4g.micro,10,288,288.0,288.0,11.5,0.4
luckyus-bigdata-cyberdata-002,cache.t4g.small,20,576,576.0,576.0,11.4,2.0
luckyus-iopenlinkeradmin-001,cache.t4g.micro,10,288,288.0,288.0,11.3,0.4
luckyus-iopenlinker-002,cache.t4g.micro,10,288,288.0,288.0,11.2,0.6
luckyus-ocp-001,cache.t4g.micro,10,288,288.0,288.0,11.2,3.2
luckyus-koala-001,cache.t4g.micro,10,288,288.0,288.0,11.2,0.7
luckyus-isales-coupon-002,cache.t4g.micro,10,288,288.0,288.0,11.1,2.5
luckyus-koala-002,cache.t4g.micro,10,288,288.0,288.0,11.0,0.6
luckyus-isales-tradecapi-001,cache.t4g.micro,10,288,288.0,288.0,10.9,0.8
luckyus-jumpserver-001,cache.t4g.small,20,576,576.0,576.0,10.9,0.7
luckyus-ipermission-002,cache.t4g.small,20,576,576.0,576.0,10.9,0.4
luckyus-jumpserver-002,cache.t4g.small,20,576,576.0,576.0,10.9,0.5
luckyus-ilkm-002,cache.t4g.micro,10,288,288.0,288.0,10.8,0.4
luckyus-scm-sims-002,cache.t4g.micro,10,288,288.0,288.0,10.8,0.4
luckyus-session-001,cache.t4g.micro,10,288,288.0,288.0,10.8,1.5
luckyus-lkmap-001,cache.t4g.small,20,576,576.0,576.0,10.8,0.4
luckyus-iotplatform-002,cache.t4g.micro,10,288,288.0,288.0,10.7,1.2
luckyus-empefficiency-001,cache.t4g.micro,10,288,288.0,288.0,10.7,0.5
luckyus-iopenlinkeradmin-002,cache.t4g.micro,10,288,288.0,288.0,10.7,0.3
luckyus-scm-commodityadmin-001,cache.t4g.micro,10,288,288.0,288.0,10.7,0.4
luckyus-unionauth-001,cache.t4g.micro,10,288,288.0,288.0,10.7,0.6
luckyus-web-002,cache.t4g.medium,20,576,576.0,576.0,10.7,0.5
luckyus-franchise-001,cache.t4g.small,20,576,576.0,576.0,10.6,0.4
luckyus-scm-purchase-002,cache.t4g.micro,10,288,288.0,288.0,10.6,0.4
luckyus-bigdata-dataplatform-002,cache.t4g.small,20,576,576.0,576.0,10.6,0.5
luckyus-franchise-002,cache.t4g.small,20,576,576.0,576.0,10.6,0.4
luckyus-ocp-002,cache.t4g.micro,10,288,288.0,288.0,10.6,1.0
luckyus-iworkflowmidlayer-002,cache.t4g.micro,10,288,288.0,288.0,10.6,0.4
luckyus-iehr-001,cache.t4g.small,20,576,576.0,576.0,10.6,0.7
luckyus-isales-order-001,cache.t4g.micro,10,288,288.0,288.0,10.6,0.9
luckyus-ipermission-001,cache.t4g.small,20,576,576.0,576.0,10.6,0.4
luckyus-scm-plan-001,cache.t4g.micro,10,288,288.0,288.0,10.6,0.4
luckyus-iotplatform-001,cache.t4g.micro,10,288,288.0,288.0,10.6,1.1
luckyus-iworkflowmidlayer-001,cache.t4g.micro,10,288,288.0,288.0,10.6,0.4
luckyus-scm-shopstock-002,cache.t4g.micro,10,288,288.0,288.0,10.6,0.4
luckyus-isales-privatedomain-001,cache.t4g.micro,10,288,288.0,288.0,10.6,0.5
luckyus-apigateway-002,cache.t4g.micro,10,288,288.0,288.0,10.5,0.4
luckyus-shop-001,cache.t4g.micro,10,288,288.0,288.0,10.5,1.0
luckyus-iunifiedreconcile-002,cache.t4g.micro,10,288,288.0,288.0,10.5,0.4
luckyus-open-unionauth-001,cache.t4g.micro,10,288,288.0,288.0,10.5,0.6
luckyus-pub-dm-001,cache.t4g.micro,10,288,288.0,288.0,10.5,0.5
luckyus-apigateway-001,cache.t4g.micro,10,288,288.0,288.0,10.5,0.4
luckyus-ifichargecontrol-002,cache.t4g.micro,10,288,288.0,288.0,10.5,0.4
luckyus-scm-srm-001,cache.t4g.micro,10,288,288.0,288.0,10.5,0.4
luckyus-scm-srm-002,cache.t4g.micro,10,288,288.0,288.0,10.5,0.4
luckyus-isales-order-002,cache.t4g.micro,10,288,288.0,288.0,10.5,0.6
luckyus-iopenadmin-001,cache.t4g.micro,10,288,288.0,288.0,10.5,0.5
luckyus-isales-member-001,cache.t4g.micro,10,288,288.0,288.0,10.4,0.5
luckyus-iunifiedreconcile-001,cache.t4g.micro,10,288,288.0,288.0,10.4,0.5
luckyus-iadmin-001,cache.t4g.micro,10,288,288.0,288.0,10.4,0.5
luckyus-iupush-002,cache.t4g.micro,10,288,288.0,288.0,10.4,2.1
luckyus-ifichargecontrol-001,cache.t4g.micro,10,288,288.0,288.0,10.4,0.4
luckyus-session-002,cache.t4g.micro,10,288,288.0,288.0,10.4,0.6
luckyus-ibizconfigcenter-002,cache.t4g.micro,10,288,288.0,288.0,10.4,0.4
luckyus-iehr-002,cache.t4g.small,20,576,576.0,576.0,10.4,0.4
luckyus-open-unionauth-002,cache.t4g.micro,10,288,288.0,288.0,10.3,0.4
luckyus-scm-shopstock-001,cache.t4g.micro,10,288,288.0,288.0,10.3,1.3
luckyus-iopenadmin-002,cache.t4g.micro,10,288,288.0,288.0,10.3,0.4
luckyus-isales-datamarket-002,cache.t4g.micro,10,288,288.0,288.0,10.3,2.5
luckyus-isales-privatedomain-002,cache.t4g.micro,10,288,288.0,288.0,10.3,0.4
luckyus-shopexpand-002,cache.t4g.micro,10,288,288.0,288.0,10.2,0.5
luckyus-ldas-002,cache.t4g.micro,10,288,288.0,288.0,10.2,0.4
luckyus-scmwmssimulate-002,cache.t4g.micro,10,288,288.0,288.0,10.2,0.4
luckyus-pub-dm-002,cache.t4g.micro,10,288,288.0,288.0,10.2,0.4
luckyus-scmwmssimulate-001,cache.t4g.micro,10,288,288.0,288.0,10.2,0.4
luckyus-unionauth-002,cache.t4g.micro,10,288,288.0,288.0,10.2,0.5
luckyus-scm-plan-002,cache.t4g.micro,10,288,288.0,288.0,10.1,0.4
luckyus-devops-002,cache.t4g.micro,10,288,288.0,288.0,10.0,0.4
luckyus-empefficiency-002,cache.t4g.micro,10,288,288.0,288.0,10.0,0.5
luckyus-authservice-001,cache.t3.micro,10,288,288.0,288.0,9.7,0.6
luckyus-cmdb-001,cache.t3.micro,10,288,288.0,288.0,9.7,1.1
luckyus-auth-002,cache.t3.micro,10,288,288.0,288.0,9.6,0.5
luckyus-cmdb-002,cache.t3.micro,10,288,288.0,288.0,9.4,0.5
luckyus-auth-001,cache.t3.micro,10,288,288.0,288.0,9.3,0.4
luckyus-authservice-002,cache.t3.micro,10,288,288.0,288.0,9.1,0.4
