opportunity_id,inspection_id,store_code,store_name,inspection_date,inspection_type_en,inspection_type_cn,module_name,sub_category,issue_description,severity,deduction_points
8729,1971,US00008,33rd & 10th,2026-03-10,Store food safety self-check,门店自检,Cleaning and Sanitation,Procedures for Cleaning and Disinfection,"Test strips is not full packed and dirty
One of sani water not enough to 100ppm",M,-5
8730,1971,US00008,33rd & 10th,2026-03-10,Store food safety self-check,门店自检,Cleaning and Sanitation,Food Processing Area,Leaking sink,L,-1
8731,1971,US00008,33rd & 10th,2026-03-10,Store food safety self-check,门店自检,Cleaning and Sanitation,Customer Area,Standing water,L,-1
8732,1971,US00008,33rd & 10th,2026-03-10,Store food safety self-check,门店自检,Facility,Water Filtration Device,,G,-2
8733,1971,US00008,33rd & 10th,2026-03-10,Store food safety self-check,门店自检,Facility,Grease traps&Residue traps&Sewer lines,,G,-2
8734,1971,US00008,33rd & 10th,2026-03-10,Store food safety self-check,门店自检,Facility,Water Sinks & Pipes,No air gap,G,-2
8735,1972,US00006,102 Fulton,2026-03-11,Store food safety self-check,门店自检,Process Control,Cross-Contamination,Don't close container properly,G,-2
8736,1972,US00006,102 Fulton,2026-03-11,Store food safety self-check,门店自检,Maintenance of Equipment,Equipment Inspection and Maintenance,Juice machine leaking wait me the parts。 Broken drip machine needs to pick up。 Steam wand is not working properly。 Water mark on the ice machine,G,-2
8737,1972,US00006,102 Fulton,2026-03-11,Store food safety self-check,门店自检,Workplace Safety,Workplace Safety,Door handle off,G,-2
8738,1972,US00006,102 Fulton,2026-03-11,Store food safety self-check,门店自检,Pests Control,Insect Pest Control Facilities & Suppliers,There is no info of Pest control service,G,-2
8748,1973,US00008,33rd & 10th,2026-03-15,Store food safety self-check,门店自检,Cleaning and Sanitation,Equipment and Food Processing Utensils,,G,-2
8749,1973,US00008,33rd & 10th,2026-03-15,Store food safety self-check,门店自检,Process Control,Storage/Maintenance of Utensils,,G,-2
8750,1973,US00008,33rd & 10th,2026-03-15,Store food safety self-check,门店自检,Cleaning and Sanitation,Procedures for Cleaning and Disinfection,,M,-5
8751,1973,US00008,33rd & 10th,2026-03-15,Store food safety self-check,门店自检,Process Control,Material Storage Location Specification,,G,-2
8752,1973,US00008,33rd & 10th,2026-03-15,Store food safety self-check,门店自检,Facility,Water Filtration Device,,G,-2
