node,type,min_credit,cap,min_pct,cur_credit,peak_engineCPU,peak_CPU,risk
luckyus-iopenlinkeradmin-002,cache.t4g.micro,288.0,288,100.0,288.0,0.3,10.7,🟢 LOW
luckyus-iopenservice-001,cache.t4g.micro,288.0,288,100.0,288.0,0.5,13.4,🟢 LOW
luckyus-iopenservice-002,cache.t4g.micro,288.0,288,100.0,288.0,0.4,12.9,🟢 LOW
luckyus-iotplatform-001,cache.t4g.micro,288.0,288,100.0,288.0,1.1,10.6,🟢 LOW
luckyus-iotplatform-002,cache.t4g.micro,288.0,288,100.0,288.0,1.2,10.7,🟢 LOW
luckyus-ipermission-001,cache.t4g.small,576.0,576,100.0,576.0,0.4,10.6,🟢 LOW
luckyus-ipermission-002,cache.t4g.small,576.0,576,100.0,576.0,0.4,10.9,🟢 LOW
luckyus-ipushnet-001,cache.t4g.micro,287.9,288,100.0,288.0,9.3,11.7,🟢 LOW
luckyus-ipushnet-002,cache.t4g.micro,288.0,288,100.0,288.0,1.1,13.5,🟢 LOW
luckyus-iriskcontrol-001,cache.t4g.micro,287.9,288,100.0,288.0,1.9,16.4,🟢 LOW
luckyus-iriskcontrol-002,cache.t4g.micro,288.0,288,100.0,288.0,0.6,16.7,🟢 LOW
luckyus-isales-commodity-001,cache.t4g.medium,576.0,576,100.0,576.0,1.6,17.5,🟢 LOW
luckyus-isales-commodity-002,cache.t4g.medium,576.0,576,100.0,576.0,0.8,12.8,🟢 LOW
luckyus-isales-coupon-001,cache.t4g.micro,288.0,288,100.0,288.0,1.2,14.7,🟢 LOW
luckyus-isales-coupon-002,cache.t4g.micro,288.0,288,100.0,288.0,2.5,11.1,🟢 LOW
luckyus-isales-crm-001,cache.t4g.micro,288.0,288,100.0,288.0,4.0,17.0,🟢 LOW
luckyus-isales-crm-002,cache.t4g.micro,288.0,288,100.0,288.0,8.3,15.0,🟢 LOW
luckyus-isales-datamarket-001,cache.t4g.micro,288.0,288,100.0,288.0,6.7,14.0,🟢 LOW
luckyus-isales-datamarket-002,cache.t4g.micro,288.0,288,100.0,288.0,2.5,10.3,🟢 LOW
luckyus-isales-marketcapi-001,cache.t4g.micro,288.0,288,100.0,288.0,1.5,17.1,🟢 LOW
luckyus-isales-member-001,cache.t4g.micro,288.0,288,100.0,288.0,0.5,10.4,🟢 LOW
luckyus-isales-member-002,cache.t4g.micro,288.0,288,100.0,288.0,0.4,13.2,🟢 LOW
luckyus-isales-order-001,cache.t4g.micro,288.0,288,100.0,288.0,0.9,10.6,🟢 LOW
luckyus-isales-order-002,cache.t4g.micro,288.0,288,100.0,288.0,0.6,10.5,🟢 LOW
luckyus-isales-privatedomain-001,cache.t4g.micro,288.0,288,100.0,288.0,0.5,10.6,🟢 LOW
luckyus-isales-privatedomain-002,cache.t4g.micro,288.0,288,100.0,288.0,0.4,10.3,🟢 LOW
luckyus-isales-session-002,cache.t4g.micro,287.9,288,100.0,288.0,1.4,14.3,🟢 LOW
luckyus-isales-tradecapi-001,cache.t4g.micro,288.0,288,100.0,288.0,0.8,10.9,🟢 LOW
luckyus-isales-tradecapi-002,cache.t4g.micro,288.0,288,100.0,288.0,0.7,16.2,🟢 LOW
luckyus-iunifiedreconcile-001,cache.t4g.micro,288.0,288,100.0,288.0,0.5,10.4,🟢 LOW
luckyus-iunifiedreconcile-002,cache.t4g.micro,288.0,288,100.0,288.0,0.4,10.5,🟢 LOW
luckyus-iupush-001,cache.t4g.micro,288.0,288,100.0,288.0,7.3,14.9,🟢 LOW
luckyus-iupush-002,cache.t4g.micro,288.0,288,100.0,288.0,2.1,10.4,🟢 LOW
luckyus-iworkflowmidlayer-001,cache.t4g.micro,288.0,288,100.0,288.0,0.4,10.6,🟢 LOW
luckyus-iworkflowmidlayer-002,cache.t4g.micro,288.0,288,100.0,288.0,0.4,10.6,🟢 LOW
luckyus-jumpserver-001,cache.t4g.small,576.0,576,100.0,576.0,0.7,10.9,🟢 LOW
luckyus-jumpserver-002,cache.t4g.small,576.0,576,100.0,576.0,0.5,10.9,🟢 LOW
luckyus-koala-001,cache.t4g.micro,288.0,288,100.0,288.0,0.7,11.2,🟢 LOW
luckyus-koala-002,cache.t4g.micro,288.0,288,100.0,288.0,0.6,11.0,🟢 LOW
luckyus-ldas-001,cache.t4g.micro,288.0,288,100.0,288.0,0.4,13.5,🟢 LOW
luckyus-ldas-002,cache.t4g.micro,288.0,288,100.0,288.0,0.4,10.2,🟢 LOW
luckyus-lkmap-001,cache.t4g.small,576.0,576,100.0,576.0,0.4,10.8,🟢 LOW
luckyus-lkmap-002,cache.t4g.small,576.0,576,100.0,576.0,0.4,12.9,🟢 LOW
luckyus-lkmap-003,cache.t4g.small,576.0,576,100.0,576.0,0.4,12.0,🟢 LOW
luckyus-mdm-002,cache.t4g.micro,287.9,288,100.0,288.0,0.4,13.1,🟢 LOW
luckyus-ocp-001,cache.t4g.micro,288.0,288,100.0,288.0,3.2,11.2,🟢 LOW
luckyus-ocp-002,cache.t4g.micro,288.0,288,100.0,288.0,1.0,10.6,🟢 LOW
luckyus-onepiece-001,cache.t4g.micro,288.0,288,100.0,288.0,0.7,13.3,🟢 LOW
luckyus-onepiece-002,cache.t4g.micro,288.0,288,100.0,288.0,0.4,17.3,🟢 LOW
luckyus-open-unionauth-001,cache.t4g.micro,288.0,288,100.0,288.0,0.6,10.5,🟢 LOW
luckyus-open-unionauth-002,cache.t4g.micro,288.0,288,100.0,288.0,0.4,10.3,🟢 LOW
luckyus-production-001,cache.t4g.micro,288.0,288,100.0,288.0,0.7,12.5,🟢 LOW
luckyus-production-002,cache.t4g.micro,288.0,288,100.0,288.0,0.5,13.1,🟢 LOW
luckyus-pub-dm-001,cache.t4g.micro,288.0,288,100.0,288.0,0.5,10.5,🟢 LOW
luckyus-pub-dm-002,cache.t4g.micro,288.0,288,100.0,288.0,0.4,10.2,🟢 LOW
luckyus-qualitycontrol-001,cache.t4g.micro,288.0,288,100.0,288.0,0.4,18.3,🟢 LOW
luckyus-qualitycontrol-002,cache.t4g.micro,287.9,288,100.0,288.0,0.4,17.3,🟢 LOW
luckyus-sapi-unionauth-001,cache.t4g.micro,287.9,288,100.0,288.0,1.0,16.0,🟢 LOW
luckyus-sapi-unionauth-002,cache.t4g.micro,288.0,288,100.0,288.0,0.6,15.9,🟢 LOW
luckyus-scm-asset-001,cache.t4g.micro,288.0,288,100.0,288.0,0.4,14.6,🟢 LOW
luckyus-scm-asset-002,cache.t4g.micro,288.0,288,100.0,288.0,0.4,11.9,🟢 LOW
luckyus-scm-commodity-001,cache.t4g.micro,288.0,288,100.0,288.0,1.0,18.4,🟢 LOW
luckyus-scm-commodity-002,cache.t4g.micro,288.0,288,100.0,288.0,0.5,17.8,🟢 LOW
luckyus-scm-commodityadmin-001,cache.t4g.micro,288.0,288,100.0,288.0,0.4,10.7,🟢 LOW
luckyus-scm-commodityadmin-002,cache.t4g.micro,288.0,288,100.0,288.0,0.4,13.1,🟢 LOW
luckyus-scm-ordering-001,cache.t4g.micro,287.9,288,100.0,288.0,0.7,16.9,🟢 LOW
luckyus-scm-ordering-002,cache.t4g.micro,288.0,288,100.0,288.0,0.5,13.3,🟢 LOW
luckyus-scm-plan-001,cache.t4g.micro,288.0,288,100.0,288.0,0.4,10.6,🟢 LOW
luckyus-scm-plan-002,cache.t4g.micro,288.0,288,100.0,288.0,0.4,10.1,🟢 LOW
luckyus-scm-purchase-001,cache.t4g.micro,288.0,288,100.0,288.0,0.5,12.9,🟢 LOW
luckyus-scm-purchase-002,cache.t4g.micro,288.0,288,100.0,288.0,0.4,10.6,🟢 LOW
luckyus-scm-shopstock-001,cache.t4g.micro,288.0,288,100.0,288.0,1.3,10.3,🟢 LOW
luckyus-scm-shopstock-002,cache.t4g.micro,288.0,288,100.0,288.0,0.4,10.6,🟢 LOW
luckyus-scm-sims-001,cache.t4g.micro,288.0,288,100.0,288.0,0.5,12.7,🟢 LOW
luckyus-scm-sims-002,cache.t4g.micro,288.0,288,100.0,288.0,0.4,10.8,🟢 LOW
luckyus-scm-srm-001,cache.t4g.micro,288.0,288,100.0,288.0,0.4,10.5,🟢 LOW
luckyus-scm-srm-002,cache.t4g.micro,288.0,288,100.0,288.0,0.4,10.5,🟢 LOW
luckyus-scm-wds-001,cache.t4g.micro,287.9,288,100.0,288.0,0.5,13.3,🟢 LOW
luckyus-scm-wds-002,cache.t4g.micro,288.0,288,100.0,288.0,0.4,15.2,🟢 LOW
luckyus-scmwmssimulate-001,cache.t4g.micro,288.0,288,100.0,288.0,0.4,10.2,🟢 LOW
luckyus-scmwmssimulate-002,cache.t4g.micro,288.0,288,100.0,288.0,0.4,10.2,🟢 LOW
luckyus-session-001,cache.t4g.micro,288.0,288,100.0,288.0,1.5,10.8,🟢 LOW
luckyus-session-002,cache.t4g.micro,288.0,288,100.0,288.0,0.6,10.4,🟢 LOW
luckyus-shop-001,cache.t4g.micro,288.0,288,100.0,288.0,1.0,10.5,🟢 LOW
luckyus-shop-002,cache.t4g.micro,288.0,288,100.0,288.0,0.6,13.1,🟢 LOW
luckyus-shopexpand-001,cache.t4g.micro,288.0,288,100.0,288.0,0.4,13.3,🟢 LOW
luckyus-shopexpand-002,cache.t4g.micro,288.0,288,100.0,288.0,0.5,10.2,🟢 LOW
luckyus-shopsale-001,cache.t4g.micro,288.0,288,100.0,288.0,1.3,14.2,🟢 LOW
luckyus-shopsale-002,cache.t4g.micro,288.0,288,100.0,288.0,0.9,17.1,🟢 LOW
luckyus-unionauth-001,cache.t4g.micro,288.0,288,100.0,288.0,0.6,10.7,🟢 LOW
luckyus-unionauth-002,cache.t4g.micro,288.0,288,100.0,288.0,0.5,10.2,🟢 LOW
luckyus-waf-001,cache.t4g.micro,288.0,288,100.0,288.0,2.1,20.5,🟢 LOW
luckyus-waf-002,cache.t4g.micro,288.0,288,100.0,288.0,1.4,11.8,🟢 LOW
luckyus-web-001,cache.t4g.medium,576.0,576,100.0,576.0,1.1,14.8,🟢 LOW
luckyus-web-002,cache.t4g.medium,576.0,576,100.0,576.0,0.5,10.7,🟢 LOW
